French,English
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
demande,request
frère,brother
laisser,let
mettre,to put
aucun,no
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
heures,hours
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
voici,here is
pourrais,could
affaire,case
donner,give
type,type
donné,given
train,train
corps,body
dont,whose
perdu,lost
main,hand
première,first
côté,side
matin,morning
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
minutes,minutes
mis,placed
droit,law
aujourd'hui,today
mari,husband
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
compte,account
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
filles,girls
jouer,to play
bureau,office
